country_name,average_points,median_points,average_gdp,player_count,ranking_records
Serbia,911.219739292365,84.0,59.65735915717055,13,537
Norway,803.199074074074,34.0,443.2707955846007,7,216
Denmark,715.2545454545455,181.5,390.9789362000001,5,220
Greece,683.0739130434782,23.0,228.3938643477525,6,230
Kazakhstan,523.0056818181819,322.0,209.7542472691393,8,352
Russia,450.11248527679624,66.0,1824.610031348295,44,1698
Bulgaria,339.64772727272725,18.0,71.59223212065828,13,528
Hong Kong,339.3636363636364,340.0,350.0056083,1,44
Chile,335.22410865874366,31.0,318.2410955152687,14,589
Spain,330.3399577167019,79.0,1474.421389124426,62,2365
Hungary,272.63421052631577,67.0,169.5428313426126,9,380
Poland,271.43682795698925,39.5,667.863496,19,744
Jordan,265.52272727272725,265.0,47.87698709925962,1,44
Finland,261.72727272727275,37.0,259.7512082959215,5,220
Germany,248.54991610738256,51.0,3853.3826933151836,61,2384
Australia,246.16313398940196,27.0,1554.272730058958,65,2642
Belgium,243.4526515151515,172.0,563.4439535,12,528
Italy,240.0783295242053,37.0,2106.528707494003,119,4813
France,227.3877417952619,76.0,2781.956878896776,110,4601
Argentina,220.06842105263158,65.0,622.1778913982591,75,3040
Bolivia,218.23863636363637,192.0,41.89965516312299,4,176
Croatia,192.98119658119657,98.0,70.83075183480695,15,585
United States,192.7865223012282,29.0,23305.023263548614,160,6188
Portugal,186.08919382504288,74.0,253.30098057577018,15,583
Lithuania,180.57575757575756,171.5,59.02409411207973,3,132
Bosnia and Herzegovina,178.22727272727272,59.0,22.21333653736684,5,220
Czech Republic,175.81701553004726,40.0,241.6066326,36,1481
Moldova,172.90151515151516,63.5,10.35589713344722,3,132
Netherlands,165.75143953934742,50.0,962.0011046,27,1042
Canada,162.39513108614233,17.0,1865.958344267463,28,1068
United Kingdom,154.30907534246575,46.0,2862.573431640704,57,2336
Austria,153.75524475524475,58.0,437.7473295313491,21,858
Slovakia,153.54444444444445,74.0,110.15612154545371,11,450
South Africa,129.85087719298247,53.0,394.8022853446694,6,228
China,123.73905862923203,25.0,18003.25685183437,29,1211
Peru,117.38529411764706,41.5,239.55559903466352,9,340
Switzerland,104.85176991150442,17.0,785.2093361862618,33,1356
Taiwan,102.61571125265392,27.0,754.1732031910578,11,471
Brazil,101.75890868596882,35.0,2368.963020093647,43,1796
Japan,95.95993391160677,29.0,4986.700678153378,59,2421
Ecuador,95.640625,50.0,111.10204946093468,5,192
Colombia,86.94904458598727,8.0,373.2959427516896,12,471
Venezuela,81.18181818181819,10.0,86.58221669084165,3,132
Ukraine,78.14984709480122,64.0,92.2231089075248,16,654
Uzbekistan,74.29677419354839,50.0,103.4422352178733,5,155
Vietnam,73.61363636363636,68.0,418.1880443494833,1,44
Romania,71.23863636363636,56.5,252.8984776747645,12,528
Estonia,69.77327935222672,18.0,29.75882308410404,6,247
Georgia,64.70454545454545,50.0,24.99479374,5,220
Sweden,59.15819209039548,12.0,595.128173,15,531
Korea,58.81791907514451,26.0,1876.3072609999997,16,692
Slovenia,56.371212121212125,29.0,57.62052077477482,3,132
Belarus,55.99740932642487,25.0,60.16491014338418,11,386
Turkey,55.23489932885906,18.0,1159.080608279452,11,447
India,50.37456445993031,14.0,3791.273778907003,29,1148
Egypt,41.41818181818182,27.0,334.4699091786993,5,220
Israel,39.16593886462882,8.0,452.2922538844317,6,229
New Zealand,32.34862385321101,21.0,239.06703530000001,8,327
Mexico,31.369822485207102,2.0,1277.543417125392,9,338
Uruguay,29.376288659793815,13.0,69.93968710515315,6,194
Ireland,25.591549295774648,8.0,509.4476911710697,4,142
Morocco,24.0935960591133,11.0,136.7741497626761,5,203
Thailand,23.656593406593405,10.0,497.1814646243557,10,364
Costa Rica,22.59090909090909,23.0,75.33772905406873,1,44
Cyprus,4.809523809523809,5.0,31.71980971817558,2,84
Iran,2.8333333333333335,3.0,565.7105964706822,1,42
