,model,precision,recall,f1-score,support
100+,logistic_regression,0.9621791103272584,0.46307648778647553,0.6252387622564625,10603.0
Top 10,logistic_regression,0.025617566331198535,0.6363636363636364,0.04925241864555849,88.0
Top 100,logistic_regression,0.07174887892376682,0.36363636363636365,0.1198501872659176,440.0
Top 50,logistic_regression,0.05804480651731161,0.32386363636363635,0.09844559585492228,352.0
accuracy,logistic_regression,0.45632674388226074,0.45632674388226074,0.45632674388226074,0.45632674388226074
macro avg,logistic_regression,0.27939759052488383,0.446735031037528,0.2231967410057152,11483.0
weighted avg,logistic_regression,0.8931673544594284,0.45632674388226074,0.5853111330822971,11483.0
100+,random_forest,0.9993980134443664,0.939451098745638,0.9684978123480797,10603.0
Top 10,random_forest,0.5789473684210527,1.0,0.7333333333333333,88.0
Top 100,random_forest,0.4581772784019975,0.8340909090909091,0.5914585012087027,440.0
Top 50,random_forest,0.5150976909413855,0.8238636363636364,0.6338797814207651,352.0
accuracy,random_forest,0.9323347557258556,0.9323347557258556,0.9323347557258556,0.9323347557258556
macro avg,random_forest,0.6379050878022005,0.8993514110500458,0.7317923570777203,11483.0
weighted avg,random_forest,0.9605919093163734,0.9323347557258556,0.9419910355527266,11483.0
